Unit_ID,Treatment,PeakToTrough_ms,Selectivity
80719_site1_cluster178,laserOff,0.133333333,0.016649541
80719_site1_cluster192,laserOff,0.133333333,0.001985198
80719_site1_cluster282,laserOff,0.266666667,0.011968105
80719_site1_cluster284,laserOff,0.6,0.023149159
80719_site1_cluster285,laserOff,0.266666667,0.009389072
80719_site1_cluster71,laserOff,0.466666667,0.057450168
80719_site1_cluster178,laserOn,0.133333333,0.070725164
80719_site1_cluster192,laserOn,0.133333333,0.000239504
80719_site1_cluster282,laserOn,0.266666667,0.013003837
80719_site1_cluster284,laserOn,0.6,0.00463547
80719_site1_cluster285,laserOn,0.266666667,0.006543862
80719_site1_cluster71,laserOn,0.466666667,0.022941752
80719_site2_cluster160,laserOff,0.133333333,0.000936205
80719_site2_cluster171,laserOff,0.466666667,0.16835031
80719_site2_cluster238,laserOff,0.666666667,0.49999916
80719_site2_cluster160,laserOn,0.133333333,0.003492021
80719_site2_cluster171,laserOn,0.466666667,0.147240501
80719_site2_cluster238,laserOn,0.666666667,0.298631743
80719_site3_cluster181,laserOff,0.166666667,0.337066375
80719_site3_cluster193,laserOff,0.266666667,0.024477473
80719_site3_cluster240,laserOff,0.433333333,0.156828305
80719_site3_cluster242,laserOff,0.4,0.027689201
80719_site3_cluster244,laserOff,0.166666667,NA
80719_site3_cluster251,laserOff,0.233333333,0.437572839
80719_site3_cluster313,laserOff,0.2,0.108346831
80719_site3_cluster75,laserOff,0.2,0.015126241
80719_site3_cluster181,laserOn,0.166666667,0.314652296
80719_site3_cluster193,laserOn,0.266666667,0.018448266
80719_site3_cluster240,laserOn,0.433333333,0.093149734
80719_site3_cluster242,laserOn,0.4,0.5
80719_site3_cluster244,laserOn,0.166666667,NA
80719_site3_cluster251,laserOn,0.233333333,0.233108707
80719_site3_cluster313,laserOn,0.2,0.027607808
80719_site3_cluster75,laserOn,0.2,0.273130418
80719_site4_cluster145,laserOff,0.2,0.173676573
80719_site4_cluster147,laserOff,0.233333333,0.058436065
80719_site4_cluster149,laserOff,0.166666667,0.023357967
80719_site4_cluster188,laserOff,0.166666667,0.015068205
80719_site4_cluster208,laserOff,0.266666667,0.000970584
80719_site4_cluster145,laserOn,0.2,0.024201381
80719_site4_cluster147,laserOn,0.233333333,0.029153728
80719_site4_cluster149,laserOn,0.166666667,0.023506882
80719_site4_cluster188,laserOn,0.166666667,0.015713648
80719_site4_cluster208,laserOn,0.266666667,0.04833038
