Current (pA),0,20,40,60,80,100,120,140,160,180,200,220,240,260,280
camk1,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2
camk2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
camk3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
camk4,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
camk5,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
camk6,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2
camk7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
camk8,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
camk9,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
camk10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
camk11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
camk12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
camk13,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
camk14,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
camk15,0,0,0,1,1,1,1,1,2,1,2,2,2,2,2
camk16,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
camk17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
camk18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
,,,,,,,,,,,,,,,
gad1,0,0,0,0,0,2,4,5,6,7,8,8,8,9,8
gad2,1,0,0,0,0,0,1,2,4,5,6,7,5,8,6
gad3,0,0,0,0,0,1,0,0,14,24,27,31,35,38,41
gad4,0,0,0,0,0,0,0,0,0,15,22,29,34,36,39
gad5,0,0,0,0,0,0,0,0,1,5,27,28,33,37,43
gad6,0,0,1,0,0,0,0,0,1,2,24,33,38,42,45
gad7,0,0,3,1,1,2,4,22,24,28,31,31,33,35,34
gad8,0,0,0,0,0,0,0,0,0,1,6,5,4,23,28
gad9,0,0,0,0,0,0,0,0,0,3,0,5,1,6,37
gad10,0,0,0,0,0,0,0,3,7,5,33,34,17,6,2
